year,bloom_start,bloom_dur,bloom_amp
1998,92,108,1.983424353
1999,116,48,4.581978699
2000,114,33,7.52441353
2001,102,98,2.969145736
2002,110,44,5.620468069
2003,108,83,3.26130661
2004,120,30,4.170531704
2005,96,94,2.740393318
2006,94,71,3.964518524
2007,112,40,2.795369878
2008,100,95,1.945198061
2009,122,38,4.519307282
2010,109,91,2.058904906
2011,90,110,2.460350284
2012,113,65,2.878047224
2013,112,32,4.383202202
2014,123,35,4.58632436
2015,105,95,2.227943305
2016,105,95,2.758849549
2017,82,56,3.228608528
2018,85,37,2.949555942
2019,82,116,1.685317931